"","sg","nom","Agriculture","Transformation","Emballage","Transport","Supermarché et distribution","Consommation","Total"
"70","légumes","Chou frisé, cru",0.35608494,0,0,0.27356253,0.018180592,0.080351049,0.728179111
"71","légumes","Chou frisé, cuit",0.4159528,0,0.28002043,0.3335497,0.021237259,0.19993027,1.250690459
"72","légumes","Chou romanesco ou brocoli à pomme, cru",0.35608494,0,0,0.27356253,0.025513693,0.080351049,0.735512212
"73","légumes","Chou rouge, bouilli/cuit à l'eau",0.42701136,0,0.31466964,0.33358541,0.021234931,0.20567787,1.302179211
"74","légumes","Chou rouge, cru",0.36559192,0,0,0.27356253,0.018180592,0.20512845,0.862463492
"75","légumes","Chou vert, cru",0.35608494,0,0,0.27356253,0.018180592,0.21426946,0.862097522
"76","légumes","Chou vert, cuit",0.41590721,0,0.31466964,0.33358541,0.021234931,0.20567787,1.291075061
"77","légumes","Chou-fleur, cru",0.35608494,0,0,0.27356253,0.025513693,0.080351049,0.735512212
"78","légumes","Chou-fleur, cuit",0.36975861,0,0.24240545,0.29649297,0.026493418,0.17629025,1.111440698
"79","légumes","Chou-fleur, surgelé, cru",0.32207883,0.12037794,0.26232822,0.21781585,0.068654975,0.02525183,1.016507645
"80","légumes","Chou-fleur, surgelé, cuit",0.37622931,0.14061685,0.30643295,0.2544368,0.0801978,0.1240069,1.28192061
"81","légumes","Chou-rave, bouilli/cuit à l'eau",0.4159528,0,0.28002043,0.3335497,0.014618709,0.19993027,1.244071909
"82","légumes","Chou-rave, cru",0.091697658,0,0,0.27356253,0.012514646,0.080351049,0.458125883
"83","fruits","Citron vert ou Lime, pulpe, cru",0.16444733,0,0,0.27356253,0.013134063,0.080351049,0.531494972
"84","fruits","Citron, pulpe, cru",0.18786463,0,0,0.37082451,0.015004354,0.13756958,0.711263074
"85","fruits","Citron, zeste, cru",0.2192631,0,0,0.43280172,0.017512084,0.21426946,0.883846364
"86","légumes","Citrouille, pulpe, crue",0.2224172,0,0,0.29790004,0.018180592,0.080351049,0.618848881
"87","fruits","Clémentine, pulpe, crue",0,0.55684123,0,0.43280172,0.017512084,0.21426946,1.221424494
